# gmm-align-compiled --transition-scale=1.0 --acoustic-scale=0.1 --self-loop-scale=0.1 --beam=10 --retry-beam=40 --careful=false "gmm-boost-silence --boost=1.0 1 exp/mono_t9/26.mdl - |" "ark:gunzip -c exp/mono_t9/fsts.2.gz|" "ark,s,cs:apply-cmvn  --utt2spk=ark:data/train_1k/split4/2/utt2spk scp:data/train_1k/split4/2/cmvn.scp scp:data/train_1k/split4/2/feats.scp ark:- | add-deltas  ark:- ark:- |" "ark,t:|gzip -c >exp/mono_t9/ali.2.gz" 
# Started at Sun Feb 24 22:55:51 EST 2019
#
gmm-align-compiled --transition-scale=1.0 --acoustic-scale=0.1 --self-loop-scale=0.1 --beam=10 --retry-beam=40 --careful=false 'gmm-boost-silence --boost=1.0 1 exp/mono_t9/26.mdl - |' 'ark:gunzip -c exp/mono_t9/fsts.2.gz|' 'ark,s,cs:apply-cmvn  --utt2spk=ark:data/train_1k/split4/2/utt2spk scp:data/train_1k/split4/2/cmvn.scp scp:data/train_1k/split4/2/feats.scp ark:- | add-deltas  ark:- ark:- |' 'ark,t:|gzip -c >exp/mono_t9/ali.2.gz' 
gmm-boost-silence --boost=1.0 1 exp/mono_t9/26.mdl - 
LOG (gmm-boost-silence[5.5.195~1-6f565]:main():gmm-boost-silence.cc:93) Boosted weights for 3 pdfs, by factor of 1
LOG (gmm-boost-silence[5.5.195~1-6f565]:main():gmm-boost-silence.cc:103) Wrote model to -
apply-cmvn --utt2spk=ark:data/train_1k/split4/2/utt2spk scp:data/train_1k/split4/2/cmvn.scp scp:data/train_1k/split4/2/feats.scp ark:- 
add-deltas ark:- ark:- 
LOG (gmm-align-compiled[5.5.195~1-6f565]:main():gmm-align-compiled.cc:127) fsjs0_si541
LOG (gmm-align-compiled[5.5.195~1-6f565]:main():gmm-align-compiled.cc:127) fsjs0_sx361
LOG (gmm-align-compiled[5.5.195~1-6f565]:main():gmm-align-compiled.cc:127) fsjw0_si1963
LOG (gmm-align-compiled[5.5.195~1-6f565]:main():gmm-align-compiled.cc:127) fsjw0_sx253
LOG (gmm-align-compiled[5.5.195~1-6f565]:main():gmm-align-compiled.cc:127) fskc0_si1416
LOG (gmm-align-compiled[5.5.195~1-6f565]:main():gmm-align-compiled.cc:127) fskc0_sx156
LOG (gmm-align-compiled[5.5.195~1-6f565]:main():gmm-align-compiled.cc:127) fskc0_sx66
LOG (gmm-align-compiled[5.5.195~1-6f565]:main():gmm-align-compiled.cc:127) fskl0_si899
LOG (gmm-align-compiled[5.5.195~1-6f565]:main():gmm-align-compiled.cc:127) fskl0_sx449
LOG (gmm-align-compiled[5.5.195~1-6f565]:main():gmm-align-compiled.cc:127) fskp0_si1728
LOG (gmm-align-compiled[5.5.195~1-6f565]:main():gmm-align-compiled.cc:127) fskp0_sx198
LOG (gmm-align-compiled[5.5.195~1-6f565]:main():gmm-align-compiled.cc:127) fsls0_si1056
LOG (gmm-align-compiled[5.5.195~1-6f565]:main():gmm-align-compiled.cc:127) fsls0_sx202
LOG (gmm-align-compiled[5.5.195~1-6f565]:main():gmm-align-compiled.cc:127) fsma0_si1621
LOG (gmm-align-compiled[5.5.195~1-6f565]:main():gmm-align-compiled.cc:127) fsma0_sx271
LOG (gmm-align-compiled[5.5.195~1-6f565]:main():gmm-align-compiled.cc:127) fsma0_sx91
LOG (gmm-align-compiled[5.5.195~1-6f565]:main():gmm-align-compiled.cc:127) fsmm0_sx144
LOG (gmm-align-compiled[5.5.195~1-6f565]:main():gmm-align-compiled.cc:127) fsmm0_sx414
LOG (gmm-align-compiled[5.5.195~1-6f565]:main():gmm-align-compiled.cc:127) fsms1_si874
LOG (gmm-align-compiled[5.5.195~1-6f565]:main():gmm-align-compiled.cc:127) fsms1_sx334
LOG (gmm-align-compiled[5.5.195~1-6f565]:main():gmm-align-compiled.cc:127) fspm0_si1871
LOG (gmm-align-compiled[5.5.195~1-6f565]:main():gmm-align-compiled.cc:127) fspm0_sx341
LOG (gmm-align-compiled[5.5.195~1-6f565]:main():gmm-align-compiled.cc:127) fsrh0_si1931
LOG (gmm-align-compiled[5.5.195~1-6f565]:main():gmm-align-compiled.cc:127) fsrh0_sx221
LOG (gmm-align-compiled[5.5.195~1-6f565]:main():gmm-align-compiled.cc:127) fssb0_si1082
LOG (gmm-align-compiled[5.5.195~1-6f565]:main():gmm-align-compiled.cc:127) fssb0_sx182
LOG (gmm-align-compiled[5.5.195~1-6f565]:main():gmm-align-compiled.cc:127) fssb0_sx92
LOG (gmm-align-compiled[5.5.195~1-6f565]:main():gmm-align-compiled.cc:127) ftaj0_si699
LOG (gmm-align-compiled[5.5.195~1-6f565]:main():gmm-align-compiled.cc:127) ftaj0_sx429
LOG (gmm-align-compiled[5.5.195~1-6f565]:main():gmm-align-compiled.cc:127) ftbr0_si921
LOG (gmm-align-compiled[5.5.195~1-6f565]:main():gmm-align-compiled.cc:127) ftbr0_sx291
LOG (gmm-align-compiled[5.5.195~1-6f565]:main():gmm-align-compiled.cc:127) ftbw0_sx355
LOG (gmm-align-compiled[5.5.195~1-6f565]:main():gmm-align-compiled.cc:127) ftlg0_si1743
LOG (gmm-align-compiled[5.5.195~1-6f565]:main():gmm-align-compiled.cc:127) ftlg0_sx213
LOG (gmm-align-compiled[5.5.195~1-6f565]:main():gmm-align-compiled.cc:127) ftlg0_sx393
LOG (gmm-align-compiled[5.5.195~1-6f565]:main():gmm-align-compiled.cc:127) ftmg0_sx182
LOG (gmm-align-compiled[5.5.195~1-6f565]:main():gmm-align-compiled.cc:127) ftmg0_sx92
LOG (gmm-align-compiled[5.5.195~1-6f565]:main():gmm-align-compiled.cc:127) fvfb0_sx132
LOG (gmm-align-compiled[5.5.195~1-6f565]:main():gmm-align-compiled.cc:127) fvfb0_sx402
LOG (gmm-align-compiled[5.5.195~1-6f565]:main():gmm-align-compiled.cc:127) fvkb0_si529
LOG (gmm-align-compiled[5.5.195~1-6f565]:main():gmm-align-compiled.cc:127) fvkb0_sx349
LOG (gmm-align-compiled[5.5.195~1-6f565]:main():gmm-align-compiled.cc:127) fvmh0_si2096
LOG (gmm-align-compiled[5.5.195~1-6f565]:main():gmm-align-compiled.cc:127) fvmh0_sx206
LOG (gmm-align-compiled[5.5.195~1-6f565]:main():gmm-align-compiled.cc:127) mabc0_si1620
LOG (gmm-align-compiled[5.5.195~1-6f565]:main():gmm-align-compiled.cc:127) mabc0_sx241
LOG (gmm-align-compiled[5.5.195~1-6f565]:main():gmm-align-compiled.cc:127) madc0_si1367
LOG (gmm-align-compiled[5.5.195~1-6f565]:main():gmm-align-compiled.cc:127) madc0_sx107
LOG (gmm-align-compiled[5.5.195~1-6f565]:main():gmm-align-compiled.cc:127) madc0_sx377
LOG (gmm-align-compiled[5.5.195~1-6f565]:main():gmm-align-compiled.cc:127) madd0_si538
LOG (gmm-align-compiled[5.5.195~1-6f565]:main():gmm-align-compiled.cc:127) madd0_sx448
LOG (gmm-align-compiled[5.5.195~1-6f565]:main():gmm-align-compiled.cc:127) maeb0_si2250
LOG (gmm-align-compiled[5.5.195~1-6f565]:main():gmm-align-compiled.cc:127) maeb0_sx360
